plug_label,colony_id,treatment,bleach_treat,symbiont_treat,bleach_bath,tank,position,treat_tank,full,y,x,coord_plot
1,A,S_SS8,Severe,SS8,C,3,17,S_SS8_3,S_SS8_3_17,3,9,"3, 9"
2,A,M_SS8,Medium,SS8,A,1,8,M_SS8_1,M_SS8_1_8,2,4,"2, 4"
3,A,L_SS8,Low,SS8,B,2,31,L_SS8_2,L_SS8_2_31,6,2,"6, 2"
4,A,L_SS8,Low,SS8,A,1,7,L_SS8_1,L_SS8_1_7,2,2,"2, 2"
5,A,M_SS8,Medium,SS8,C,3,40,M_SS8_3,M_SS8_3_40,7,7,"7, 7"
6,A,S_RIC,Severe,RIC,B,2,40,S_RIC_2,S_RIC_2_40,7,7,"7, 7"
7,A,S_SD,Severe,SD,A,1,4,S_SD_1,S_SD_1_4,1,7,"1, 7"
8,A,M_SD,Medium,SD,C,3,31,M_SD_3,M_SD_3_31,6,2,"6, 2"
10,A,C,Control,C,D,1,32,C_1,C_1_32,6,4,"6, 4"
11,A,L_SS8,Low,SS8,C,3,3,L_SS8_3,L_SS8_3_3,1,5,"1, 5"
13,A,S_SD,Severe,SD,A,1,41,S_SD_1,S_SD_1_41,7,9,"7, 9"
14,A,M_SS8,Medium,SS8,C,3,21,M_SS8_3,M_SS8_3_21,4,6,"4, 6"
15,A,S_RIC,Severe,RIC,B,2,14,S_RIC_2,S_RIC_2_14,3,3,"3, 3"
16,A,S_SS8,Severe,SS8,B,2,38,S_SS8_2,S_SS8_2_38,7,3,"7, 3"
17,A,L_RIC,Low,RIC,A,1,28,L_RIC_1,L_RIC_1_28,5,7,"5, 7"
18,A,S_SS8,Severe,SS8,A,1,10,S_SS8_1,S_SS8_1_10,2,8,"2, 8"
20,A,S_SD,Severe,SD,C,3,16,S_SD_3,S_SD_3_16,3,7,"3, 7"
21,A,L_SD,Low,SD,A,1,27,L_SD_1,L_SD_1_27,5,5,"5, 5"
22,A,M_RIC,Medium,RIC,A,1,38,M_RIC_1,M_RIC_1_38,7,3,"7, 3"
23,A,M_RIC,Medium,RIC,B,2,2,M_RIC_2,M_RIC_2_2,1,3,"1, 3"
24,A,L_RIC,Low,RIC,B,2,39,L_RIC_2,L_RIC_2_39,7,5,"7, 5"
26,A,C,Control,C,D,1,21,C_1,C_1_21,4,6,"4, 6"
27,A,S_SD,Severe,SD,B,2,8,S_SD_2,S_SD_2_8,2,4,"2, 4"
28,A,S_SS8,Severe,SS8,A,1,23,S_SS8_1,S_SS8_1_23,4,10,"4, 10"
29,A,M_RIC,Medium,RIC,B,2,26,M_RIC_2,M_RIC_2_26,5,3,"5, 3"
30,A,L_SD,Low,SD,B,2,19,L_SD_2,L_SD_2_19,4,2,"4, 2"
31,A,M_RIC,Medium,RIC,C,3,17,M_RIC_3,M_RIC_3_17,3,9,"3, 9"
32,A,L_SD,Low,SD,B,2,27,L_SD_2,L_SD_2_27,5,5,"5, 5"
33,A,C,Control,C,D,2,3,C_2,C_2_3,1,5,"1, 5"
34,A,M_RIC,Medium,RIC,A,1,23,M_RIC_1,M_RIC_1_23,4,10,"4, 10"
37,A,M_SD,Medium,SD,C,3,19,M_SD_3,M_SD_3_19,4,2,"4, 2"
38,A,S_SS8,Severe,SS8,B,2,16,S_SS8_2,S_SS8_2_16,3,7,"3, 7"
39,A,L_SD,Low,SD,A,1,17,L_SD_1,L_SD_1_17,3,9,"3, 9"
40,A,L_SD,Low,SD,C,3,19,L_SD_3,L_SD_3_19,4,2,"4, 2"
41,A,S_SD,Severe,SD,B,2,1,S_SD_2,S_SD_2_1,1,1,"1, 1"
42,A,M_RIC,Medium,RIC,C,3,11,M_RIC_3,M_RIC_3_11,2,10,"2, 10"
43,A,L_SS8,Low,SS8,A,1,13,L_SS8_1,L_SS8_1_13,3,1,"3, 1"
44,A,M_SS8,Medium,SS8,C,3,10,M_SS8_3,M_SS8_3_10,2,8,"2, 8"
45,A,M_SD,Medium,SD,B,2,33,M_SD_2,M_SD_2_33,6,6,"6, 6"
46,A,M_RIC,Medium,RIC,C,3,31,M_RIC_3,M_RIC_3_31,6,2,"6, 2"
47,A,M_RIC,Medium,RIC,B,2,33,M_RIC_2,M_RIC_2_33,6,6,"6, 6"
49,A,M_SS8,Medium,SS8,A,1,42,M_SS8_1,M_SS8_1_42,7,11,"7, 11"
50,A,L_SD,Low,SD,C,3,26,L_SD_3,L_SD_3_26,5,3,"5, 3"
51,A,M_RIC,Medium,RIC,A,1,28,M_RIC_1,M_RIC_1_28,5,7,"5, 7"
52,A,S_RIC,Severe,RIC,B,2,36,S_RIC_2,S_RIC_2_36,6,12,"6, 12"
53,A,C,Control,C,D,2,8,C_2,C_2_8,2,4,"2, 4"
54,A,L_SS8,Low,SS8,A,1,17,L_SS8_1,L_SS8_1_17,3,9,"3, 9"
55,A,L_RIC,Low,RIC,A,1,11,L_RIC_1,L_RIC_1_11,2,10,"2, 10"
56,A,L_RIC,Low,RIC,A,1,41,L_RIC_1,L_RIC_1_41,7,9,"7, 9"
57,A,M_SS8,Medium,SS8,A,1,3,M_SS8_1,M_SS8_1_3,1,5,"1, 5"
58,A,M_SS8,Medium,SS8,B,2,30,M_SS8_2,M_SS8_2_30,5,11,"5, 11"
59,A,L_SD,Low,SD,C,3,28,L_SD_3,L_SD_3_28,5,7,"5, 7"
60,A,M_RIC,Medium,RIC,C,3,18,M_RIC_3,M_RIC_3_18,3,11,"3, 11"
61,A,L_SS8,Low,SS8,C,3,14,L_SS8_3,L_SS8_3_14,3,3,"3, 3"
62,A,L_RIC,Low,RIC,A,1,36,L_RIC_1,L_RIC_1_36,6,12,"6, 12"
63,A,S_SD,Severe,SD,B,2,31,S_SD_2,S_SD_2_31,6,2,"6, 2"
64,A,L_RIC,Low,RIC,A,1,6,L_RIC_1,L_RIC_1_6,1,11,"1, 11"
66,A,S_SS8,Severe,SS8,A,1,30,S_SS8_1,S_SS8_1_30,5,11,"5, 11"
67,A,M_RIC,Medium,RIC,B,2,8,M_RIC_2,M_RIC_2_8,2,4,"2, 4"
68,A,L_SS8,Low,SS8,A,1,8,L_SS8_1,L_SS8_1_8,2,4,"2, 4"
69,A,C,Control,C,D,3,28,C_3,C_3_28,5,7,"5, 7"
70,A,L_SS8,Low,SS8,C,3,32,L_SS8_3,L_SS8_3_32,6,4,"6, 4"
71,A,M_SD,Medium,SD,C,3,20,M_SD_3,M_SD_3_20,4,4,"4, 4"
72,A,L_SD,Low,SD,A,1,25,L_SD_1,L_SD_1_25,5,1,"5, 1"
73,A,M_SD,Medium,SD,C,3,42,M_SD_3,M_SD_3_42,7,11,"7, 11"
74,A,S_SD,Severe,SD,A,1,40,S_SD_1,S_SD_1_40,7,7,"7, 7"
75,A,S_RIC,Severe,RIC,C,3,16,S_RIC_3,S_RIC_3_16,3,7,"3, 7"
76,A,C,Control,C,D,2,23,C_2,C_2_23,4,10,"4, 10"
77,A,L_SS8,Low,SS8,B,2,35,L_SS8_2,L_SS8_2_35,6,10,"6, 10"
80,A,L_SD,Low,SD,C,3,42,L_SD_3,L_SD_3_42,7,11,"7, 11"
81,A,S_RIC,Severe,RIC,C,3,5,S_RIC_3,S_RIC_3_5,1,9,"1, 9"
82,A,M_RIC,Medium,RIC,A,1,6,M_RIC_1,M_RIC_1_6,1,11,"1, 11"
83,A,L_RIC,Low,RIC,B,2,30,L_RIC_2,L_RIC_2_30,5,11,"5, 11"
84,A,M_SS8,Medium,SS8,C,3,28,M_SS8_3,M_SS8_3_28,5,7,"5, 7"
85,A,C,Control,C,D,2,19,C_2,C_2_19,4,2,"4, 2"
86,A,S_SS8,Severe,SS8,C,3,22,S_SS8_3,S_SS8_3_22,4,8,"4, 8"
87,A,L_SD,Low,SD,A,1,4,L_SD_1,L_SD_1_4,1,7,"1, 7"
88,A,C,Control,C,D,2,35,C_2,C_2_35,6,10,"6, 10"
89,A,L_SS8,Low,SS8,C,3,18,L_SS8_3,L_SS8_3_18,3,11,"3, 11"
90,A,S_SD,Severe,SD,B,2,20,S_SD_2,S_SD_2_20,4,4,"4, 4"
91,A,C,Control,C,D,3,36,C_3,C_3_36,6,12,"6, 12"
92,A,L_SS8,Low,SS8,B,2,24,L_SS8_2,L_SS8_2_24,4,12,"4, 12"
94,A,C,Control,C,D,3,34,C_3,C_3_34,6,8,"6, 8"
95,A,M_SS8,Medium,SS8,B,2,4,M_SS8_2,M_SS8_2_4,1,7,"1, 7"
96,A,S_SD,Severe,SD,A,1,15,S_SD_1,S_SD_1_15,3,5,"3, 5"
97,A,C,Control,C,D,3,39,C_3,C_3_39,7,5,"7, 5"
98,A,S_SS8,Severe,SS8,C,3,1,S_SS8_3,S_SS8_3_1,1,1,"1, 1"
99,A,S_RIC,Severe,RIC,C,3,40,S_RIC_3,S_RIC_3_40,7,7,"7, 7"
100,A,L_SD,Low,SD,C,3,38,L_SD_3,L_SD_3_38,7,3,"7, 3"
104,A,M_SD,Medium,SD,A,1,9,M_SD_1,M_SD_1_9,2,6,"2, 6"
105,A,C,Control,C,D,3,24,C_3,C_3_24,4,12,"4, 12"
106,A,C,Control,C,D,3,18,C_3,C_3_18,3,11,"3, 11"
107,A,S_RIC,Severe,RIC,C,3,33,S_RIC_3,S_RIC_3_33,6,6,"6, 6"
108,A,S_SS8,Severe,SS8,A,1,24,S_SS8_1,S_SS8_1_24,4,12,"4, 12"
109,A,M_SD,Medium,SD,B,2,15,M_SD_2,M_SD_2_15,3,5,"3, 5"
110,A,C,Control,C,D,3,2,C_3,C_3_2,1,3,"1, 3"
111,A,M_SD,Medium,SD,C,3,28,M_SD_3,M_SD_3_28,5,7,"5, 7"
112,A,S_SS8,Severe,SS8,B,2,33,S_SS8_2,S_SS8_2_33,6,6,"6, 6"
113,A,L_SD,Low,SD,A,1,35,L_SD_1,L_SD_1_35,6,10,"6, 10"
114,A,S_RIC,Severe,RIC,A,1,37,S_RIC_1,S_RIC_1_37,7,1,"7, 1"
115,A,S_SS8,Severe,SS8,C,3,35,S_SS8_3,S_SS8_3_35,6,10,"6, 10"
116,A,C,Control,C,D,3,29,C_3,C_3_29,5,9,"5, 9"
117,A,C,Control,C,D,2,41,C_2,C_2_41,7,9,"7, 9"
118,A,M_SS8,Medium,SS8,C,3,19,M_SS8_3,M_SS8_3_19,4,2,"4, 2"
119,A,M_SD,Medium,SD,C,3,25,M_SD_3,M_SD_3_25,5,1,"5, 1"
120,A,S_SD,Severe,SD,A,1,27,S_SD_1,S_SD_1_27,5,5,"5, 5"
121,A,S_RIC,Severe,RIC,C,3,18,S_RIC_3,S_RIC_3_18,3,11,"3, 11"
122,A,C,Control,C,D,2,37,C_2,C_2_37,7,1,"7, 1"
123,A,L_RIC,Low,RIC,C,3,33,L_RIC_3,L_RIC_3_33,6,6,"6, 6"
124,A,M_SD,Medium,SD,C,3,9,M_SD_3,M_SD_3_9,2,6,"2, 6"
125,A,C,Control,C,D,3,8,C_3,C_3_8,2,4,"2, 4"
126,A,M_SD,Medium,SD,B,2,40,M_SD_2,M_SD_2_40,7,7,"7, 7"
127,A,S_SS8,Severe,SS8,B,2,14,S_SS8_2,S_SS8_2_14,3,3,"3, 3"
128,A,L_RIC,Low,RIC,B,2,36,L_RIC_2,L_RIC_2_36,6,12,"6, 12"
129,A,M_SS8,Medium,SS8,A,1,37,M_SS8_1,M_SS8_1_37,7,1,"7, 1"
130,A,M_RIC,Medium,RIC,A,1,34,M_RIC_1,M_RIC_1_34,6,8,"6, 8"
131,A,C,Control,C,D,2,4,C_2,C_2_4,1,7,"1, 7"
132,A,S_RIC,Severe,RIC,C,3,32,S_RIC_3,S_RIC_3_32,6,4,"6, 4"
133,A,C,Control,C,D,1,5,C_1,C_1_5,1,9,"1, 9"
134,A,S_SD,Severe,SD,A,1,18,S_SD_1,S_SD_1_18,3,11,"3, 11"
135,A,M_SD,Medium,SD,C,3,34,M_SD_3,M_SD_3_34,6,8,"6, 8"
136,A,M_SD,Medium,SD,A,1,19,M_SD_1,M_SD_1_19,4,2,"4, 2"
137,A,S_SD,Severe,SD,C,3,22,S_SD_3,S_SD_3_22,4,8,"4, 8"
138,A,C,Control,C,D,1,17,C_1,C_1_17,3,9,"3, 9"
141,A,S_SD,Severe,SD,A,1,6,S_SD_1,S_SD_1_6,1,11,"1, 11"
142,A,M_SS8,Medium,SS8,C,3,39,M_SS8_3,M_SS8_3_39,7,5,"7, 5"
143,A,L_RIC,Low,RIC,B,2,12,L_RIC_2,L_RIC_2_12,2,12,"2, 12"
144,A,S_SS8,Severe,SS8,B,2,40,S_SS8_2,S_SS8_2_40,7,7,"7, 7"
145,A,L_RIC,Low,RIC,B,2,33,L_RIC_2,L_RIC_2_33,6,6,"6, 6"
146,A,S_RIC,Severe,RIC,A,1,32,S_RIC_1,S_RIC_1_32,6,4,"6, 4"
148,A,S_SS8,Severe,SS8,A,1,11,S_SS8_1,S_SS8_1_11,2,10,"2, 10"
149,A,L_RIC,Low,RIC,B,2,4,L_RIC_2,L_RIC_2_4,1,7,"1, 7"
150,A,M_SD,Medium,SD,B,2,30,M_SD_2,M_SD_2_30,5,11,"5, 11"
151,A,M_SS8,Medium,SS8,B,2,16,M_SS8_2,M_SS8_2_16,3,7,"3, 7"
153,A,M_SS8,Medium,SS8,B,2,2,M_SS8_2,M_SS8_2_2,1,3,"1, 3"
154,A,L_SS8,Low,SS8,A,1,14,L_SS8_1,L_SS8_1_14,3,3,"3, 3"
155,A,S_SD,Severe,SD,B,2,26,S_SD_2,S_SD_2_26,5,3,"5, 3"
156,A,L_SD,Low,SD,C,3,13,L_SD_3,L_SD_3_13,3,1,"3, 1"
157,A,M_SD,Medium,SD,B,2,3,M_SD_2,M_SD_2_3,1,5,"1, 5"
158,A,S_RIC,Severe,RIC,C,3,37,S_RIC_3,S_RIC_3_37,7,1,"7, 1"
159,A,L_SS8,Low,SS8,A,1,11,L_SS8_1,L_SS8_1_11,2,10,"2, 10"
160,A,L_SS8,Low,SS8,A,1,12,L_SS8_1,L_SS8_1_12,2,12,"2, 12"
161,A,S_SS8,Severe,SS8,A,1,12,S_SS8_1,S_SS8_1_12,2,12,"2, 12"
162,A,L_SD,Low,SD,A,1,39,L_SD_1,L_SD_1_39,7,5,"7, 5"
163,A,L_SD,Low,SD,C,3,34,L_SD_3,L_SD_3_34,6,8,"6, 8"
164,A,S_SD,Severe,SD,A,1,23,S_SD_1,S_SD_1_23,4,10,"4, 10"
165,A,L_RIC,Low,RIC,A,1,32,L_RIC_1,L_RIC_1_32,6,4,"6, 4"
166,A,M_RIC,Medium,RIC,A,1,39,M_RIC_1,M_RIC_1_39,7,5,"7, 5"
167,A,S_RIC,Severe,RIC,C,3,20,S_RIC_3,S_RIC_3_20,4,4,"4, 4"
168,A,L_RIC,Low,RIC,A,1,1,L_RIC_1,L_RIC_1_1,1,1,"1, 1"
169,A,M_RIC,Medium,RIC,B,2,13,M_RIC_2,M_RIC_2_13,3,1,"3, 1"
171,A,M_SS8,Medium,SS8,A,1,25,M_SS8_1,M_SS8_1_25,5,1,"5, 1"
172,A,L_RIC,Low,RIC,B,2,40,L_RIC_2,L_RIC_2_40,7,7,"7, 7"
173,A,L_SS8,Low,SS8,A,1,15,L_SS8_1,L_SS8_1_15,3,5,"3, 5"
174,A,S_RIC,Severe,RIC,A,1,24,S_RIC_1,S_RIC_1_24,4,12,"4, 12"
175,A,S_RIC,Severe,RIC,B,2,10,S_RIC_2,S_RIC_2_10,2,8,"2, 8"
177,B,C,Control,C,D,2,15,C_2,C_2_15,3,5,"3, 5"
178,B,C,Control,C,D,1,13,C_1,C_1_13,3,1,"3, 1"
179,B,S_SD,Severe,SD,B,2,4,S_SD_2,S_SD_2_4,1,7,"1, 7"
180,B,S_RIC,Severe,RIC,C,3,21,S_RIC_3,S_RIC_3_21,4,6,"4, 6"
181,B,L_SS8,Low,SS8,A,1,31,L_SS8_1,L_SS8_1_31,6,2,"6, 2"
182,B,M_RIC,Medium,RIC,A,1,4,M_RIC_1,M_RIC_1_4,1,7,"1, 7"
183,B,M_RIC,Medium,RIC,A,1,1,M_RIC_1,M_RIC_1_1,1,1,"1, 1"
184,B,S_SD,Severe,SD,B,2,32,S_SD_2,S_SD_2_32,6,4,"6, 4"
185,B,M_SS8,Medium,SS8,A,1,40,M_SS8_1,M_SS8_1_40,7,7,"7, 7"
186,B,L_SD,Low,SD,B,2,16,L_SD_2,L_SD_2_16,3,7,"3, 7"
187,B,L_SD,Low,SD,C,3,9,L_SD_3,L_SD_3_9,2,6,"2, 6"
188,B,M_SD,Medium,SD,A,1,11,M_SD_1,M_SD_1_11,2,10,"2, 10"
189,B,S_SS8,Severe,SS8,A,1,34,S_SS8_1,S_SS8_1_34,6,8,"6, 8"
190,B,L_RIC,Low,RIC,B,2,16,L_RIC_2,L_RIC_2_16,3,7,"3, 7"
191,B,M_RIC,Medium,RIC,A,1,15,M_RIC_1,M_RIC_1_15,3,5,"3, 5"
192,B,L_SD,Low,SD,C,3,33,L_SD_3,L_SD_3_33,6,6,"6, 6"
193,B,S_RIC,Severe,RIC,C,3,38,S_RIC_3,S_RIC_3_38,7,3,"7, 3"
194,B,L_SD,Low,SD,B,2,10,L_SD_2,L_SD_2_10,2,8,"2, 8"
195,B,S_SD,Severe,SD,C,3,30,S_SD_3,S_SD_3_30,5,11,"5, 11"
196,B,M_RIC,Medium,RIC,A,1,14,M_RIC_1,M_RIC_1_14,3,3,"3, 3"
197,B,L_RIC,Low,RIC,B,2,35,L_RIC_2,L_RIC_2_35,6,10,"6, 10"
198,B,L_SS8,Low,SS8,B,2,27,L_SS8_2,L_SS8_2_27,5,5,"5, 5"
199,B,L_SS8,Low,SS8,B,2,40,L_SS8_2,L_SS8_2_40,7,7,"7, 7"
200,B,L_RIC,Low,RIC,A,1,39,L_RIC_1,L_RIC_1_39,7,5,"7, 5"
201,B,L_RIC,Low,RIC,A,1,2,L_RIC_1,L_RIC_1_2,1,3,"1, 3"
202,B,M_SS8,Medium,SS8,B,2,15,M_SS8_2,M_SS8_2_15,3,5,"3, 5"
